id_neighbourhood,neighbourhood,year,variable,Nominal ,Per_change_previous_year,Indexed
1,el Raval,2015,Average renting price/m2,10.99526554,0,100
2,el Barri GÃ²tic,2015,Average renting price/m2,11.28594367,0,100
3,la Barceloneta,2015,Average renting price/m2,16.34166325,0,100
4,"Sant Pere, Santa Caterina i la Ribera",2015,Average renting price/m2,12.68463515,0,100
5,el Fort Pienc,2015,Average renting price/m2,10.89112138,0,100
6,la Sagrada FamÃ­lia,2015,Average renting price/m2,11.1558409,0,100
7,la Dreta de l'Eixample,2015,Average renting price/m2,11.20688837,0,100
8,l'Antiga Esquerra de l'Eixample,2015,Average renting price/m2,11.36116911,0,100
9,la Nova Esquerra de l'Eixample,2015,Average renting price/m2,11.11528246,0,100
10,Sant Antoni,2015,Average renting price/m2,10.81830807,0,100
11,el Poble Sec,2015,Average renting price/m2,11.08741123,0,100
12,la Marina del Prat Vermell,2015,Average renting price/m2,6.745368782,0,100
13,la Marina de Port,2015,Average renting price/m2,8.181765562,0,100
14,la Font de la Guatlla,2015,Average renting price/m2,11.31359801,0,100
15,Hostafrancs,2015,Average renting price/m2,11.02110653,0,100
16,la Bordeta,2015,Average renting price/m2,9.837125044,0,100
17,Sants - Badal,2015,Average renting price/m2,10.66500541,0,100
18,Sants,2015,Average renting price/m2,10.91837064,0,100
19,les Corts,2015,Average renting price/m2,11.70479844,0,100
20,la Maternitat i Sant Ramon,2015,Average renting price/m2,11.3074443,0,100
21,Pedralbes,2015,Average renting price/m2,13.99814613,0,100
22,"Vallvidrera, el Tibidabo i les Planes",2015,Average renting price/m2,11.83107973,0,100
23,SarriÃ ,2015,Average renting price/m2,14.35885174,0,100
24,les Tres Torres,2015,Average renting price/m2,13.84954533,0,100
25,Sant Gervasi - la Bonanova,2015,Average renting price/m2,12.60848538,0,100
26,Sant Gervasi - Galvany,2015,Average renting price/m2,12.57543441,0,100
27,el Putxet i el FarrÃ³,2015,Average renting price/m2,12.40915035,0,100
28,Vallcarca i els Penitents,2015,Average renting price/m2,11.48385582,0,100
29,el Coll,2015,Average renting price/m2,9.796145803,0,100
30,la Salut,2015,Average renting price/m2,11.27114749,0,100
31,la Vila de GrÃ cia,2015,Average renting price/m2,12.38740788,0,100
32,el Camp d'en Grassot i GrÃ cia Nova,2015,Average renting price/m2,11.15889574,0,100
33,el Baix GuinardÃ³,2015,Average renting price/m2,10.39178359,0,100
34,Can BarÃ³,2015,Average renting price/m2,9.79793505,0,100
35,el GuinardÃ³,2015,Average renting price/m2,10.27037557,0,100
36,la Font d'en Fargues,2015,Average renting price/m2,10.74059389,0,100
37,el Carmel,2015,Average renting price/m2,9.020963677,0,100
38,la Teixonera,2015,Average renting price/m2,9.528552026,0,100
39,Sant GenÃ­s dels Agudells,2015,Average renting price/m2,8.113678921,0,100
40,Montbau,2015,Average renting price/m2,10.11384026,0,100
