id_neighbourhood,total_houses
01,17751
02,8209
03,8164
04,10380
05,13166
06,23509
07,18660
08,17932
09,27115
10,17554
11,16517
12,309
13,11998
14,4532
15,6820
16,8221
17,10195
18,19227
19,19488
20,9720
21,4007
22,1026
23,9428
24,5687
25,9715
26,18387
27,12765
28,7349
29,3386
30,5274
31,23468
32,15538
33,11792
34,3832
35,16007
36,3849
37,12620
38,4989
39,2816
40,2128
41,2167
42,197
43,11154
44,11096
45,11072
46,6321
47,987
48,6896
49,2619
50,5312
51,5780
52,11004
53,2522
54,517
55,3730
56,428
57,3092
58,890
59,4338
60,24575
61,12168
62,5963
63,10659
64,16993
65,11700
66,6202
67,3746
68,13722
69,5733
70,7611
71,8345
72,11322
73,11684
